od_id,station,station_line,station_lon,station_lat,facility_source,facility_id,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,method,node_sequence,edge_sequence,node_count,edge_count,route_length_m,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio,mobility_facility_count_near_route,support_point_count_near_route,existing_safe_route_overlap_or_proximity_count
녹번_3호선_to_eunpyeong_daycare,녹번,3호선,126.935756,37.600927,mobility_facility,mobility_facility-525,은평장애인주간보호센터,서울특별시 은평구 진흥로 87,126.9217,37.6047,1309.941,436867704.0,3819767887.0,5.477178362551235,32.80585901030248,PASS,녹번_3호선_to_eunpyeong_daycare_baseline,baseline,shortest_path_by_length,"[436867704, 3811678409, 2309932435, 3811155089, 3811155100, 3811155105, 3811155108, 3811155109, 3811155110, 2309932436, 3811155120, 3811155123, 3811678510, 3811136152, 3811678517, 3811155131, 3811136153, 2309932438, 3811139659, 3811139668, 3811139673, 3811139674, 3811139677, 4580533283, 3811092369, 2309932422, 3811092371, 3811092372, 2309932419, 2309932457, 3811092376, 3811092381, 3811078752, 3811078755, 10678122636, 3811078754, 8460984671, 10789220058, 8460984675, 3819767908, 10789220057, 3819767936, 3819767895, 3819767887]","[[436867704, 3811678409], [3811678409, 2309932435], [2309932435, 3811155089], [3811155089, 3811155100], [3811155100, 3811155105], [3811155105, 3811155108], [3811155108, 3811155109], [3811155109, 3811155110], [3811155110, 2309932436], [2309932436, 3811155120], [3811155120, 3811155123], [3811155123, 3811678510], [3811678510, 3811136152], [3811136152, 3811678517], [3811678517, 3811155131], [3811155131, 3811136153], [3811136153, 2309932438], [2309932438, 3811139659], [3811139659, 3811139668], [3811139668, 3811139673], [3811139673, 3811139674], [3811139674, 3811139677], [3811139677, 4580533283], [4580533283, 3811092369], [3811092369, 2309932422], [2309932422, 3811092371], [3811092371, 3811092372], [3811092372, 2309932419], [2309932419, 2309932457], [2309932457, 3811092376], [3811092376, 3811092381], [3811092381, 3811078752], [3811078752, 3811078755], [3811078755, 10678122636], [10678122636, 3811078754], [3811078754, 8460984671], [8460984671, 10789220058], [10789220058, 8460984675], [8460984675, 3819767908], [3819767908, 10789220057], [10789220057, 3819767936], [3819767936, 3819767895], [3819767895, 3819767887]]",44.0,43.0,1554.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,51.0
독바위_6호선_to_eunpyeong_daycare,독바위,6호선,126.933031,37.618456,mobility_facility,mobility_facility-525,은평장애인주간보호센터,서울특별시 은평구 진흥로 87,126.9217,37.6047,1825.358,3824954278.0,3819767887.0,2.93341759236071,32.80585901030248,PASS,독바위_6호선_to_eunpyeong_daycare_baseline,baseline,shortest_path_by_length,"[3824954278, 436849320, 307924229, 3824954088, 3819769661, 3824954063, 445329900, 436849314, 5281044434, 5281044436, 5281044435, 3819769307, 3279011087, 4580205446, 3819769163, 353195249, 436849310, 3279011082, 5281045189, 5281045187, 5281045188, 5281045186, 457819071, 11228575654, 5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3811139948, 436854170, 10789220053, 10789220052, 10678122631, 10789220057, 3819767936, 3819767895, 3819767887]","[[3824954278, 436849320], [436849320, 307924229], [307924229, 3824954088], [3824954088, 3819769661], [3819769661, 3824954063], [3824954063, 445329900], [445329900, 436849314], [436849314, 5281044434], [5281044434, 5281044436], [5281044436, 5281044435], [5281044435, 3819769307], [3819769307, 3279011087], [3279011087, 4580205446], [4580205446, 3819769163], [3819769163, 353195249], [353195249, 436849310], [436849310, 3279011082], [3279011082, 5281045189], [5281045189, 5281045187], [5281045187, 5281045188], [5281045188, 5281045186], [5281045186, 457819071], [457819071, 11228575654], [11228575654, 5930698997], [5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3811139948], [3811139948, 436854170], [436854170, 10789220053], [10789220053, 10789220052], [10789220052, 10678122631], [10678122631, 10789220057], [10789220057, 3819767936], [3819767936, 3819767895], [3819767895, 3819767887]]",49.0,48.0,2007.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,21.0,16.0
불광_3호선_to_eunpyeong_daycare,불광,3호선,126.92982,37.610553,mobility_facility,mobility_facility-525,은평장애인주간보호센터,서울특별시 은평구 진흥로 87,126.9217,37.6047,967.507,5930698997.0,3819767887.0,50.209801741355435,32.80585901030248,PASS,불광_3호선_to_eunpyeong_daycare_baseline,baseline,shortest_path_by_length,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3811139948, 436854170, 10789220053, 10789220052, 10678122631, 10789220057, 3819767936, 3819767895, 3819767887]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3811139948], [3811139948, 436854170], [436854170, 10789220053], [10789220053, 10789220052], [10789220052, 10678122631], [10678122631, 10789220057], [10789220057, 3819767936], [3819767936, 3819767895], [3819767895, 3819767887]]",25.0,24.0,1019.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0
불광_6호선_to_eunpyeong_daycare,불광,6호선,126.92939,37.610873,mobility_facility,mobility_facility-525,은평장애인주간보호센터,서울특별시 은평구 진흥로 87,126.9217,37.6047,964.609,5930698997.0,3819767887.0,11.603222454866666,32.80585901030248,PASS,불광_6호선_to_eunpyeong_daycare_baseline,baseline,shortest_path_by_length,"[5930698997, 5281048352, 11229115806, 12364765013, 12364765021, 12364765017, 436873827, 436873826, 3811140039, 3819768175, 3819768163, 3811140014, 436873822, 3811139987, 3811139972, 3819768079, 3811139948, 436854170, 10789220053, 10789220052, 10678122631, 10789220057, 3819767936, 3819767895, 3819767887]","[[5930698997, 5281048352], [5281048352, 11229115806], [11229115806, 12364765013], [12364765013, 12364765021], [12364765021, 12364765017], [12364765017, 436873827], [436873827, 436873826], [436873826, 3811140039], [3811140039, 3819768175], [3819768175, 3819768163], [3819768163, 3811140014], [3811140014, 436873822], [436873822, 3811139987], [3811139987, 3811139972], [3811139972, 3819768079], [3819768079, 3811139948], [3811139948, 436854170], [436854170, 10789220053], [10789220053, 10789220052], [10789220052, 10678122631], [10678122631, 10789220057], [10789220057, 3819767936], [3819767936, 3819767895], [3819767895, 3819767887]]",25.0,24.0,1019.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0
연신내_3호선_to_eunpyeong_daycare,연신내,3호선,126.921038,37.619229,mobility_facility,mobility_facility-525,은평장애인주간보호센터,서울특별시 은평구 진흥로 87,126.9217,37.6047,1613.621,13357342120.0,3819767887.0,32.16422242836125,32.80585901030248,PASS,연신내_3호선_to_eunpyeong_daycare_baseline,baseline,shortest_path_by_length,"[13357342120, 13357342121, 13357321496, 13357342123, 10678122493, 3819769869, 3819769835, 3819769821, 3819769759, 3819769745, 353193681, 3819769725, 3819769679, 3819769554, 3819769503, 3819769470, 3819769451, 3819769399, 353193679, 353193678, 3819769234, 3819769155, 4580258482, 3819769063, 353193675, 3819768934, 3819768906, 353193674, 3819768764, 3819768749, 3819768677, 436862050, 3819768596, 436862049, 3819768568, 10789220047, 4086709496, 10789220119, 10678122570, 3819768147, 10678122780, 10789220102, 10789220121, 10678122772, 10789220053, 10789220052, 10678122631, 10789220057, 3819767936, 3819767895, 3819767887]","[[13357342120, 13357342121], [13357342121, 13357321496], [13357321496, 13357342123], [13357342123, 10678122493], [10678122493, 3819769869], [3819769869, 3819769835], [3819769835, 3819769821], [3819769821, 3819769759], [3819769759, 3819769745], [3819769745, 353193681], [353193681, 3819769725], [3819769725, 3819769679], [3819769679, 3819769554], [3819769554, 3819769503], [3819769503, 3819769470], [3819769470, 3819769451], [3819769451, 3819769399], [3819769399, 353193679], [353193679, 353193678], [353193678, 3819769234], [3819769234, 3819769155], [3819769155, 4580258482], [4580258482, 3819769063], [3819769063, 353193675], [353193675, 3819768934], [3819768934, 3819768906], [3819768906, 353193674], [353193674, 3819768764], [3819768764, 3819768749], [3819768749, 3819768677], [3819768677, 436862050], [436862050, 3819768596], [3819768596, 436862049], [436862049, 3819768568], [3819768568, 10789220047], [10789220047, 4086709496], [4086709496, 10789220119], [10789220119, 10678122570], [10678122570, 3819768147], [3819768147, 10678122780], [10678122780, 10789220102], [10789220102, 10789220121], [10789220121, 10678122772], [10678122772, 10789220053], [10789220053, 10789220052], [10789220052, 10678122631], [10678122631, 10789220057], [10789220057, 3819767936], [3819767936, 3819767895], [3819767895, 3819767887]]",51.0,50.0,1875.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,13.0
연신내_6호선_to_eunpyeong_daycare,연신내,6호선,126.920625,37.618636,mobility_facility,mobility_facility-525,은평장애인주간보호센터,서울특별시 은평구 진흥로 87,126.9217,37.6047,1549.655,11230505686.0,3819767887.0,20.028299588559467,32.80585901030248,PASS,연신내_6호선_to_eunpyeong_daycare_baseline,baseline,shortest_path_by_length,"[11230505686, 5279878735, 13734502235, 5279878736, 13357342107, 3819769835, 3819769821, 3819769759, 3819769745, 353193681, 3819769725, 3819769679, 3819769554, 3819769503, 3819769470, 3819769451, 3819769399, 353193679, 353193678, 3819769234, 3819769155, 4580258482, 3819769063, 353193675, 3819768934, 3819768906, 353193674, 3819768764, 3819768749, 3819768677, 436862050, 3819768596, 436862049, 3819768568, 10789220047, 4086709496, 10789220119, 10678122570, 3819768147, 10678122780, 10789220102, 10789220121, 10678122772, 10789220053, 10789220052, 10678122631, 10789220057, 3819767936, 3819767895, 3819767887]","[[11230505686, 5279878735], [5279878735, 13734502235], [13734502235, 5279878736], [5279878736, 13357342107], [13357342107, 3819769835], [3819769835, 3819769821], [3819769821, 3819769759], [3819769759, 3819769745], [3819769745, 353193681], [353193681, 3819769725], [3819769725, 3819769679], [3819769679, 3819769554], [3819769554, 3819769503], [3819769503, 3819769470], [3819769470, 3819769451], [3819769451, 3819769399], [3819769399, 353193679], [353193679, 353193678], [353193678, 3819769234], [3819769234, 3819769155], [3819769155, 4580258482], [4580258482, 3819769063], [3819769063, 353193675], [353193675, 3819768934], [3819768934, 3819768906], [3819768906, 353193674], [353193674, 3819768764], [3819768764, 3819768749], [3819768749, 3819768677], [3819768677, 436862050], [436862050, 3819768596], [3819768596, 436862049], [436862049, 3819768568], [3819768568, 10789220047], [10789220047, 4086709496], [4086709496, 10789220119], [10789220119, 10678122570], [10678122570, 3819768147], [3819768147, 10678122780], [10678122780, 10789220102], [10789220102, 10789220121], [10789220121, 10678122772], [10678122772, 10789220053], [10789220053, 10789220052], [10789220052, 10678122631], [10678122631, 10789220057], [10789220057, 3819767936], [3819767936, 3819767895], [3819767895, 3819767887]]",50.0,49.0,1799.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0
응암_6호선_to_eunpyeong_daycare,응암,6호선,126.915577,37.598605,mobility_facility,mobility_facility-525,은평장애인주간보호센터,서울특별시 은평구 진흥로 87,126.9217,37.6047,866.01,8735757178.0,3819767887.0,11.20363638320314,32.80585901030248,PASS,응암_6호선_to_eunpyeong_daycare_baseline,baseline,shortest_path_by_length,"[8735757178, 8735757205, 414683392, 13360989731, 3891198185, 13185264857, 2523199332, 3811554563, 3811554565, 3811554566, 3811554569, 2523199336, 13185264858, 3811554587, 3811078671, 10789220069, 3811554630, 10789220067, 10789220065, 10789220066, 10789220063, 10789220097, 10789220062, 10789220061, 10789220060, 3819767842, 3819767863, 3819767875, 3819767879, 3819767897, 3819767895, 3819767887]","[[8735757178, 8735757205], [8735757205, 414683392], [414683392, 13360989731], [13360989731, 3891198185], [3891198185, 13185264857], [13185264857, 2523199332], [2523199332, 3811554563], [3811554563, 3811554565], [3811554565, 3811554566], [3811554566, 3811554569], [3811554569, 2523199336], [2523199336, 13185264858], [13185264858, 3811554587], [3811554587, 3811078671], [3811078671, 10789220069], [10789220069, 3811554630], [3811554630, 10789220067], [10789220067, 10789220065], [10789220065, 10789220066], [10789220066, 10789220063], [10789220063, 10789220097], [10789220097, 10789220062], [10789220062, 10789220061], [10789220061, 10789220060], [10789220060, 3819767842], [3819767842, 3819767863], [3819767863, 3819767875], [3819767875, 3819767879], [3819767879, 3819767897], [3819767897, 3819767895], [3819767895, 3819767887]]",32.0,31.0,1092.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,25.0
