od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,geometry,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status
od_902,불광,6호선,126.92939,37.610873,mobility_facility,예성공인중개사사무소,서울특별시 은평구 연서로 99,126.9151,37.6081,1298.747,POINT (126.9151 37.6081),5930698997,10789210630,11.603222454866666,12.851044509350475,PASS
od_1969,녹번,3호선,126.935756,37.600927,mobility_facility,현대메디알레공인중개사사무소,서울특별시 은평구 진흥로13길 9,126.9255,37.6093,1297.6,POINT (126.9255 37.6093),436867704,3819768549,5.477178362551235,9.612669763146753,PASS
od_896,불광,6호선,126.92939,37.610873,mobility_facility,일광단지내공인중개사사무소,"서울특별시 은평구 은평로 220, 108동 (응암동, 녹번역e편한세상캐슬)",126.9301,37.5992,1297.091,POINT (126.9301 37.5992),5930698997,3811678234,11.603222454866666,42.927450261230234,PASS
od_711,독바위,6호선,126.933031,37.618456,pedestrian_support_point,과속방지턱,서울특별시 은평구 연서로24길 19-1,126.9194,37.6141,1296.939,POINT (126.9194 37.6141),3824954278,3819769251,2.93341759236071,12.36275907922496,PASS
od_122,연신내,6호선,126.920625,37.618636,mobility_facility,행운공인중개사사무소,"서울특별시 은평구 불광로2길 7, 상가동 (불광동, 북한산현대홈타운아파트)",126.9328,37.6121,1296.804,POINT (126.9328 37.6121),11230505686,3824953864,20.028299588559467,28.123955914597097,PASS
od_2554,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-5,126.9153,37.6123,1296.608,POINT (126.9153 37.6123),5930698997,10789210620,50.209801741355435,6.689540301331119,PASS
od_2390,불광,3호선,126.92982,37.610553,pedestrian_support_point,빗물받이,서울특별시 은평구 구산동  195-5,126.9153,37.6123,1296.608,POINT (126.9153 37.6123),5930698997,10789210620,50.209801741355435,6.689540301331119,PASS
od_445,독바위,6호선,126.933031,37.618456,mobility_facility,내고향 막창,서울특별시 은평구 진흥로 144,126.926,37.6082,1296.575,POINT (126.926 37.6082),3824954278,10789220108,2.93341759236071,19.290626139405187,PASS
od_1438,응암,6호선,126.915577,37.598605,mobility_facility,의자21,서울특별시 은평구 신사동  산 48-2,126.9011,37.6005,1295.62,POINT (126.9011 37.6005),8735757178,11655568418,11.20363638320314,49.26063476860307,PASS
od_1302,응암,6호선,126.915577,37.598605,mobility_facility,의자22,서울특별시 은평구 신사동 산 48-2,126.9011,37.6005,1295.62,POINT (126.9011 37.6005),8735757178,11655568418,11.20363638320314,49.26063476860307,PASS
od_34,연신내,6호선,126.920625,37.618636,mobility_facility,에이스공인중개사사무소,서울특별시 은평구 불광로2길 6-2,126.9326,37.6119,1294.894,POINT (126.9326 37.6119),11230505686,3824953864,20.028299588559467,10.439199731087813,PASS
od_2223,불광,3호선,126.92982,37.610553,mobility_facility,37. 불광중학교,서울특별시 은평구 불광동  177-21,126.9305,37.6222,1294.086,POINT (126.9305 37.6222),5930698997,3823587288,50.209801741355435,22.70814480801875,PASS
od_1267,불광,6호선,126.92939,37.610873,pedestrian_support_point,빗물받이,서울특별시 은평구 연서로27길 26,126.9179,37.6181,1293.258,POINT (126.9179 37.6181),5930698997,4580111217,11.603222454866666,4.632684357392194,PASS
od_446,독바위,6호선,126.933031,37.618456,mobility_facility,장어가,서울특별시 은평구 진흥로 144,126.9261,37.6082,1292.371,POINT (126.9261 37.6082),3824954278,10789220108,2.93341759236071,17.15740368045905,PASS
od_1124,불광,6호선,126.92939,37.610873,pedestrian_support_point,맨홀,서울특별시 은평구 불광동  177-21,126.9313,37.6224,1290.439,POINT (126.9313 37.6224),5930698997,436862401,11.603222454866666,9.279701740256037,PASS
od_2631,불광,3호선,126.92982,37.610553,pedestrian_support_point,빗물받이,서울특별시 은평구 불광동  190-3,126.9314,37.6221,1289.163,POINT (126.9314 37.6221),5930698997,3823587293,50.209801741355435,7.551810334417256,PASS
od_2124,녹번,3호선,126.935756,37.600927,pedestrian_support_point,쉘터형 택시 승차대,서울특별시 은평구 역촌동  17-55,126.9224,37.6056,1288.388,POINT (126.9224 37.6056),436867704,436867927,5.477178362551235,16.43398612932405,PASS
od_499,독바위,6호선,126.933031,37.618456,mobility_facility,하이오비,서울특별시 은평구 통일로85길 5-1,126.9191,37.6219,1287.911,POINT (126.9191 37.6219),3824954278,3823587159,2.93341759236071,11.045544384801552,PASS
od_2544,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-5,126.9154,37.6123,1287.878,POINT (126.9154 37.6123),5930698997,4584668991,50.209801741355435,12.621180192978276,PASS
od_876,불광,6호선,126.92939,37.610873,mobility_facility,열린공인중개사사무소,서울특별시 은평구 진흥로 51,126.9203,37.6018,1287.749,POINT (126.9203 37.6018),5930698997,10789220067,11.603222454866666,15.09998599822484,PASS
od_2292,불광,3호선,126.92982,37.610553,mobility_facility,현대공인중개사사무소,서울특별시 은평구 통일로 598,126.9364,37.6002,1287.613,POINT (126.9364 37.6002),5930698997,8374268026,50.209801741355435,42.45030679999849,PASS
od_71,연신내,6호선,126.920625,37.618636,mobility_facility,34. 불광역 1번출구,서울특별시 은평구 통일로 720,126.9305,37.6101,1287.528,POINT (126.9305 37.6101),11230505686,11228574114,20.028299588559467,20.026368740428214,PASS
od_264,연신내,6호선,126.920625,37.618636,pedestrian_support_point,불광역1번출구,서울특별시 은평구 통일로 730-2,126.9305,37.6101,1287.528,POINT (126.9305 37.6101),11230505686,11228574114,20.028299588559467,20.026368740428214,PASS
od_1627,응암,6호선,126.915577,37.598605,pedestrian_support_point,장애인화장실,서울특별시 은평구 연서로 117,126.9153,37.6102,1287.151,POINT (126.9153 37.6102),8735757178,7060279945,11.20363638320314,64.29914866054128,PASS
od_1628,응암,6호선,126.915577,37.598605,pedestrian_support_point,장애인화장실,서울특별시 은평구 연서로 117,126.9153,37.6102,1287.151,POINT (126.9153 37.6102),8735757178,7060279945,11.20363638320314,64.29914866054128,PASS
od_1629,응암,6호선,126.915577,37.598605,pedestrian_support_point,장애인화장실,서울특별시 은평구 연서로 117,126.9153,37.6102,1287.151,POINT (126.9153 37.6102),8735757178,7060279945,11.20363638320314,64.29914866054128,PASS
od_1630,응암,6호선,126.915577,37.598605,pedestrian_support_point,장애인화장실,서울특별시 은평구 연서로 117,126.9153,37.6102,1287.151,POINT (126.9153 37.6102),8735757178,7060279945,11.20363638320314,64.29914866054128,PASS
od_2232,불광,3호선,126.92982,37.610553,mobility_facility,콜핑 연신내점,서울특별시 은평구 연서로 296,126.9269,37.6219,1285.511,POINT (126.9269 37.6219),5930698997,3823587249,50.209801741355435,19.369480998514497,PASS
od_701,독바위,6호선,126.933031,37.618456,pedestrian_support_point,맨홀,서울특별시 은평구 통일로 895-2,126.9197,37.6231,1284.821,POINT (126.9197 37.6231),3824954278,436393823,2.93341759236071,29.14105443196905,PASS
od_2264,불광,3호선,126.92982,37.610553,mobility_facility,열린공인중개사사무소,서울특별시 은평구 진흥로 51,126.9203,37.6018,1284.689,POINT (126.9203 37.6018),5930698997,10789220067,50.209801741355435,15.09998599822484,PASS
od_2715,연신내,3호선,126.921038,37.619229,mobility_facility,31.  은평뉴타운  112동,서울특별시 은평구 진관동  106-1,126.9208,37.6308,1284.431,POINT (126.9208 37.6308),13357342120,4714543154,32.16422242836125,68.84533328753469,PASS
