od_id,station,station_line,station_lon,station_lat,facility_source,facility_name,facility_address,facility_lon,facility_lat,straight_line_distance_m,station_node,facility_node,station_snap_distance_m,facility_snap_distance_m,snap_status,route_id,route_type,node_count,route_length_m,steps_count,flood_feature_count_2022,flood_overlap_length_m_2022,flood_feature_count_2023,flood_overlap_length_m_2023,flood_feature_count_2024,flood_overlap_length_m_2024,flood_feature_count_2025,flood_overlap_length_m_2025,flood_feature_count_unique_total,flood_overlap_length_m_total,flood_overlap_ratio,mobility_facility_count_near_route,support_point_count_near_route,existing_safe_route_overlap_or_proximity_count,baseline_distance,alternative_distance,distance_delta_m,distance_delta_ratio,baseline_flood_overlap_m,alternative_flood_overlap_m,flood_overlap_reduction_m,flood_overlap_reduction_ratio,historical_flood_trace_avoiding_candidate
od_2464,불광,3호선,126.92982,37.610553,pedestrian_support_point,청구성심병원,서울특별시 은평구 통일로83길 6,126.9193,37.621,1485.637,5930698997,353194436,50.209801741355435,8.657079706876354,PASS,od_2464_alternative_1,alternative_1,30,1498.01,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,5,17,16,1492.084,1498.01,5.926,0.003972,0.0,0.0,0.0,,False
od_2495,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-5,126.9134,37.613,1474.999,5930698997,10678122449,50.209801741355435,50.155390113696065,PASS,od_2495_baseline,baseline,42,1778.968,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3,23,22,1778.968,,0.0,0.0,0.0,,0.0,0.0,False
od_2495,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 구산동  195-5,126.9134,37.613,1474.999,5930698997,10678122449,50.209801741355435,50.155390113696065,PASS,od_2495_alternative_1,alternative_1,42,1780.475,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3,23,22,1778.968,1780.475,1.507,0.000847,0.0,0.0,0.0,,False
od_2525,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 역촌동  45-42,126.9141,37.6058,1484.906,5930698997,3820984281,50.209801741355435,3.980956845043946,PASS,od_2525_baseline,baseline,47,1629.987,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,17,15,1629.987,,0.0,0.0,0.0,,0.0,0.0,False
od_2525,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 역촌동  45-42,126.9141,37.6058,1484.906,5930698997,3820984281,50.209801741355435,3.980956845043946,PASS,od_2525_alternative_1,alternative_1,45,1635.641,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,17,15,1629.987,1635.641,5.654,0.003469,0.0,0.0,0.0,,False
od_2525,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 역촌동  45-42,126.9141,37.6058,1484.906,5930698997,3820984281,50.209801741355435,3.980956845043946,PASS,od_2525_alternative_2,alternative_2,47,1636.022,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,16,17,15,1629.987,1636.022,6.035,0.003702,0.0,0.0,0.0,,False
od_2532,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 역촌동  64-38,126.9156,37.6035,1479.646,5930698997,3819767791,50.209801741355435,13.196637390690714,PASS,od_2532_baseline,baseline,41,1670.331,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,11,15,1670.331,,0.0,0.0,0.0,,0.0,0.0,False
od_2532,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 역촌동  64-38,126.9156,37.6035,1479.646,5930698997,3819767791,50.209801741355435,13.196637390690714,PASS,od_2532_alternative_1,alternative_1,41,1676.366,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,6,11,15,1670.331,1676.366,6.035,0.003613,0.0,0.0,0.0,,False
od_2577,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 통일로 895-2,126.9197,37.6214,1499.228,5930698997,11230505659,50.209801741355435,39.58349013296481,PASS,od_2577_baseline,baseline,25,1497.956,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,8,25,17,1497.956,,0.0,0.0,0.0,,0.0,0.0,False
od_2577,불광,3호선,126.92982,37.610553,pedestrian_support_point,맨홀,서울특별시 은평구 통일로 895-2,126.9197,37.6214,1499.228,5930698997,11230505659,50.209801741355435,39.58349013296481,PASS,od_2577_alternative_1,alternative_1,23,1498.44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,7,24,16,1497.956,1498.44,0.484,0.000323,0.0,0.0,0.0,,False
