route_id,route_label,station_sequence,line_sequence,station_count,buffer_radius_m,station_sum_2022_2025_300m,flood_unique_2022_300m,flood_unique_2023_300m,flood_unique_2024_300m,flood_unique_2025_300m,flood_unique_2022_2025_total_300m,duplicate_count_removed,route_buffer_area_m2,route_buffer_area_km2,feature_id_column,yearly_unique_sum_2022_2025,yearly_sum_matches_total
route_a,Route A,"['불광', '연신내']",['3호선'],2,300,91,12,0,0,79,91,0,564578.7282982775,0.5645787282982775,__feature_index,91,True
route_b,Route B,"['불광', '독바위', '연신내']",['6호선'],3,300,139,35,0,1,103,139,0,846868.0924474164,0.8468680924474163,__feature_index,139,True
