"od","route_role","origin","destination","through_station","station_sequence","station_line_sequence","line_sequence","total_distance","totalReqHr_raw","transfer_count","segment_count","flood_unique_total","flood_station_sum","flood_duplicates_removed","missing_elevator_station_count","all_stations_have_elevator","mobility_facility_count","pedestrian_safe_route_linestring_count","pedestrian_support_point_count","distance_delta","req_hr_raw_delta","flood_unique_reduction","valid_moveon_alternative"
"독바위->연신내","alternative","독바위","연신내","녹번","독바위>연신내>연신내>불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>연신내","6호선>6호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>3호선","23581","2277","2","23","144","303","159","16","False","146","187","284","22181","2147","-29","False"
"독바위->연신내","alternative","독바위","연신내","불광","독바위>연신내>연신내>불광>불광>독바위>연신내","6호선>6호선>3호선>3호선>6호선>6호선>6호선","6호선>3호선","5281","1015","2","6","142","345","203","0","True","127","131","266","3881","885","-27","False"
"독바위->연신내","alternative","독바위","연신내","응암","독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>연신내","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","28131","2742","2","29","162","227","65","24","False","110","134","199","26731","2612","-47","False"
"독바위->응암","baseline","독바위","응암",,"독바위>연신내>구산>응암","6호선>6호선>6호선>6호선","6호선","3800","330","0","3","133","133","0","1","False","55","56","90",,,,
"독바위->응암","alternative","독바위","응암","녹번","독바위>연신내>연신내>불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위>연신내>구산>응암","6호선>6호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선>6호선>6호선>6호선","6호선>3호선","27081","2829","3","27","163","392","229","17","False","189","249","374","23281","2499","-30","False"
"독바위->응암","alternative","독바위","응암","불광","독바위>연신내>연신내>불광>불광>독바위>연신내>구산>응암","6호선>6호선>3호선>3호선>6호선>6호선>6호선>6호선>6호선","6호선>3호선","7681","1215","2","8","160","363","203","1","False","146","156","290","3881","885","-27","False"
"불광->녹번","baseline","불광","녹번",,"불광>녹번","3호선>3호선","3호선","1100","90","0","1","26","26","0","0","True","31","59","66",,,,
"불광->녹번","alternative","불광","녹번","독바위","불광>독바위>연신내>연신내>불광>녹번","6호선>6호선>6호선>3호선>3호선>3호선","6호선>3호선","4881","747","1","5","145","233","88","0","True","103","134","218","3781","657","-119","False"
"불광->녹번","alternative","불광","녹번","연신내","불광>독바위>연신내>연신내>불광>녹번","6호선>6호선>6호선>3호선>3호선>3호선","6호선>3호선","4881","747","1","5","145","233","88","0","True","103","134","218","3781","657","-119","False"
"불광->녹번","alternative","불광","녹번","응암","불광>독바위>연신내>구산>응암>새절>증산>디지털미디어시티>월드컵경기장>마포구청>망원>합정>합정>홍대입구>신촌>이대>아현>충정로>시청>을지로입구>을지로3가>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번","6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>6호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>2호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선","6호선>2호선>3호선","26631","2652","2","28","160","160","0","24","False","79","115","151","25531","2562","-134","False"
"불광->독바위","baseline","불광","독바위",,"불광>독바위","6호선>6호선","6호선","900","90","0","1","69","69","0","0","True","23","37","63",,,,
"불광->독바위","alternative","불광","독바위","녹번","불광>녹번>홍제>무악재>독립문>경복궁>안국>종로3가>을지로3가>충무로>충무로>을지로3가>종로3가>안국>경복궁>독립문>무악재>홍제>녹번>불광>불광>독바위","3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>3호선>6호선>6호선","3호선>6호선","20400","1932","2","21","72","121","49","16","False","85","155","195","19500","1842","-3","False"
